NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40036857;68.8;44.79;3081.55;3081.55;0
40069577;67.0;44.79;3000.93;3000.93;0
40010653;32.6;44.79;1460.15;1460.15;0
40069556;67.7;44.79;3032.28;3032.28;0
40036894;46.8;44.79;2096.17;2096.17;0
40069984;46.0;44.79;2060.34;2060.34;0
40069715;52.2;44.79;2338.04;2338.04;0
40068333;41.2;34.54;1423.05;1423.05;0
40070517;56.7;34.54;1958.42;1958.42;0
40010568;32.6;44.79;1460.15;1460.15;0
40010665;31.4;44.79;1406.41;1406.41;0
40069395;48.7;44.79;2181.27;2181.27;0
40069680;37.1;44.79;1661.71;1661.71;0
40020598;57.4;34.54;1982.6;1982.6;0
40010932;32.1;44.79;1437.76;1437.76;0
40069193;32.3;34.54;1115.64;1115.64;0
40068370;31.5;34.54;1088.01;1088.01;0
40069693;52.3;44.79;2342.52;2342.52;0
40069839;32.7;34.54;1129.46;1129.46;0
40069934;58.7;34.54;2027.5;2027.5;0
40036762;31.5;30.86;972.09;972.09;0
40013282;38.6;34.54;1333.24;1333.24;0
40068327;60.6;44.79;2714.27;2714.27;0
40068360;31.0;34.54;1070.74;1070.74;0
40069727;52.7;44.79;2360.43;2360.43;0
40069737;37.5;44.79;1679.63;1679.63;0
40070595;57.5;44.79;2575.43;2575.42;0
40069866;56.9;34.54;1965.33;1965.33;0
40068395;30.9;34.54;1067.29;1067.29;0
40069635;69.2;44.79;3099.47;3099.47;0
40068129;84.8;30.86;2616.93;2616.93;0
40020512;79.0;34.54;2728.66;2728.66;0
40023382;39.1;34.54;1350.51;1350.51;0
40068304;47.7;44.79;2136.48;2136.48;0
40070498;20.4;33.67;686.87;686.87;0
40036830;13.6;29.99;407.86;407.86;0
40068202;42.6;34.54;1471.4;1471.4;0
40069898;31.9;34.54;1101.83;1101.83;0
40069873;32.2;34.54;1112.19;1112.19;0
40010549;47.0;44.79;2105.13;2105.13;0
40069206;32.6;34.54;1126.0;1126.0;0
40069907;32.6;34.54;1126.0;1126.0;0
40010505;58.9;44.79;2638.13;2638.13;0
40069696;37.5;44.79;1679.63;1679.63;0
40068788;59.9;34.54;2068.95;2068.95;0
40069950;48.9;34.54;1689.01;1689.01;0
40068619;35.9;29.99;1076.64;1076.64;0
40068390;40.5;34.54;1398.87;1398.87;0
40070556;40.3;33.67;1356.9;1356.9;0
40069774;67.9;44.79;3041.24;3041.24;0
40069856;57.6;34.54;1989.5;1989.5;0
40068137;51.7;30.86;1595.46;1595.46;0
40070508;44.6;34.54;1540.48;1540.48;0
40069703;66.5;44.79;2978.54;2978.54;0
40013274;38.7;34.54;1336.7;1336.7;0
40013275;53.0;34.54;1830.62;1830.62;0
40069416;60.8;44.79;2723.23;2723.23;0
40069235;48.5;34.54;1675.19;1675.19;0
40069026;58.4;34.54;2017.14;2017.14;0
40069820;48.9;34.54;1689.01;1689.01;0
40068546;30.0;34.54;1036.2;1036.2;0
40010596;32.5;44.79;1455.68;1455.68;0
40023401;39.3;34.54;1357.42;1357.42;0
40069045;32.5;34.54;1122.55;1122.55;0
40068214;43.1;34.54;1488.67;1488.67;0
40020539;58.5;34.54;2020.59;2020.59;0
40068948;50.8;34.54;1754.63;1754.63;0
40068587;40.5;34.54;1398.87;1398.87;0
40069642;69.2;44.79;3099.47;3099.47;0
40010535;31.3;44.79;1401.93;1401.93;0
40069639;37.9;44.79;1697.54;1697.54;0
40068318;60.0;44.79;2687.4;2687.4;0
40068781;20.9;34.54;721.89;721.89;0
40069104;32.6;34.54;1126.0;1126.0;0
40069143;49.6;34.54;1713.18;1713.18;0
